frame_idx,time_sec,type,track_id,score,bbox,contributors,image_path
375,15.0,loitering,1,43.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 15.0, ""bbox"": [149.99001329106062, 54.36216632897055, 95.68564094524123, 295.778955418871], ""center"": [197.83283376368124, 202.25164403840606]}]",data/output/frames/09_frame000375_loitering_track1_20250823_210742_234.jpg
405,16.2,loitering,1,45.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 16.2, ""bbox"": [149.95036691421518, 54.317715129040806, 95.64997424729937, 296.04271858236706], ""center"": [197.77535403786487, 202.33907442022434]}]",data/output/frames/09_frame000405_loitering_track1_20250823_210743_662.jpg
435,17.4,loitering,1,46.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 17.4, ""bbox"": [148.66848531070582, 54.27722562356919, 97.42482971563572, 296.0259627881888], ""center"": [197.38090016852368, 202.2902070176636]}]",data/output/frames/09_frame000435_loitering_track1_20250823_210745_102.jpg
465,18.6,loitering,1,48.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 18.6, ""bbox"": [148.154067229651, 54.34060151605418, 96.78224197526404, 295.9240457106735], ""center"": [196.545188217283, 202.30262437139095]}]",data/output/frames/09_frame000465_loitering_track1_20250823_210746_508.jpg
495,19.8,loitering,1,49.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 19.8, ""bbox"": [148.9831022559323, 53.98587400553836, 96.69632818179075, 296.5400646162456], ""center"": [197.33126634682768, 202.25590631366117]}]",data/output/frames/09_frame000495_loitering_track1_20250823_210747_940.jpg
504,20.16,unusual,,53.1,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.66, ""mean_magnitude"": 0.6700000166893005, ""baseline_mean"": 0.4000000059604645, ""baseline_std"": 0.1, ""num_regions"": 7, ""total_area"": 56861.0}]",data/output/frames/09_frame000504_unusual_trackNone_20250823_210748_383.jpg
525,21.0,loitering,1,51.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 21.0, ""bbox"": [149.08776162241105, 54.42628201140959, 95.8852627866963, 295.9666516486739], ""center"": [197.03039301575922, 202.40960783574656]}]",data/output/frames/09_frame000525_loitering_track1_20250823_210749_411.jpg
555,22.2,loitering,1,52.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 22.2, ""bbox"": [149.37868361476598, 54.002676860444545, 101.01212532360685, 295.78002620906494], ""center"": [199.8847462765694, 201.89268996497702]}]",data/output/frames/09_frame000555_loitering_track1_20250823_210750_893.jpg
560,22.4,unusual,,62.51,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 3.130000114440918, ""mean_magnitude"": 1.5499999523162842, ""baseline_mean"": 0.800000011920929, ""baseline_std"": 0.23999999463558197, ""num_regions"": 4, ""total_area"": 54321.0}]",data/output/frames/09_frame000560_unusual_trackNone_20250823_210751_138.jpg
585,23.4,loitering,1,54.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 23.4, ""bbox"": [157.7480892951722, 55.005556131444514, 106.52771309525127, 295.89183470325185], ""center"": [211.01194584279784, 202.95147348307043]}]",data/output/frames/09_frame000585_loitering_track1_20250823_210752_366.jpg
