frame_idx,time_sec,type,track_id,score,bbox,contributors,image_path
375,15.0,loitering,2,43.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 2, ""dwell_seconds"": 15.0, ""bbox"": [432.7762609788687, 118.24679526140433, 36.4917624560677, 128.18862833880115], ""center"": [451.0221422069026, 182.34110943080492]}]",data/output/frames/05_frame000375_loitering_track2_20250823_205230_918.jpg
405,16.2,loitering,2,45.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 2, ""dwell_seconds"": 16.2, ""bbox"": [434.0618643266443, 117.8743038760885, 36.70032402454176, 128.47859322324953], ""center"": [452.41202633891515, 182.11360048771326]}]",data/output/frames/05_frame000405_loitering_track2_20250823_205232_365.jpg
429,17.16,unusual,,50.12,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.51, ""mean_magnitude"": 0.41999998688697815, ""baseline_mean"": 0.17000000178813934, ""baseline_std"": 0.1, ""num_regions"": 7, ""total_area"": 48059.0}]",data/output/frames/05_frame000429_unusual_trackNone_20250823_205233_563.jpg
435,17.4,loitering,2,46.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 2, ""dwell_seconds"": 17.4, ""bbox"": [433.1961147420177, 119.57066211083549, 36.47608196700104, 126.78226400273735], ""center"": [451.4341557255182, 182.96179411220416]}]",data/output/frames/05_frame000435_loitering_track2_20250823_205233_852.jpg
465,18.6,loitering,2,48.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 2, ""dwell_seconds"": 18.6, ""bbox"": [433.0376124224491, 118.99078670448478, 36.371402930929214, 126.71663364396099], ""center"": [451.2233138879137, 182.34910352646529]}]",data/output/frames/05_frame000465_loitering_track2_20250823_205235_290.jpg
698,27.92,unusual,,55.73,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.7899999618530273, ""mean_magnitude"": 0.800000011920929, ""baseline_mean"": 0.47999998927116394, ""baseline_std"": 0.11999999731779099, ""num_regions"": 6, ""total_area"": 76018.0}]",data/output/frames/05_frame000698_unusual_trackNone_20250823_205246_258.jpg
768,30.72,unusual,,54.41,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.7200000286102295, ""mean_magnitude"": 0.8899999856948853, ""baseline_mean"": 0.5600000023841858, ""baseline_std"": 0.11999999731779099, ""num_regions"": 5, ""total_area"": 76828.0}]",data/output/frames/05_frame000768_unusual_trackNone_20250823_205249_643.jpg
915,36.6,loitering,89,43.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 89, ""dwell_seconds"": 15.0, ""bbox"": [471.7665342442056, 123.18800369955599, 36.728798545672355, 111.88835765743266], ""center"": [490.1309335170418, 179.13218252827232]}]",data/output/frames/05_frame000915_loitering_track89_20250823_205257_008.jpg
945,37.8,loitering,89,45.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 89, ""dwell_seconds"": 16.2, ""bbox"": [495.34089462154145, 124.32260982584081, 22.48122106981974, 103.82823988693849], ""center"": [506.5815051564513, 176.23672976931005]}]",data/output/frames/05_frame000945_loitering_track89_20250823_205258_471.jpg
1005,40.2,unusual,,56.07,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.8, ""mean_magnitude"": 0.4099999964237213, ""baseline_mean"": 0.12999999523162842, ""baseline_std"": 0.1, ""num_regions"": 17, ""total_area"": 72511.0}]",data/output/frames/05_frame001005_unusual_trackNone_20250823_205301_433.jpg
