frame_idx,time_sec,type,track_id,score,bbox,contributors,image_path
375,15.0,loitering,1,43.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 15.0, ""bbox"": [183.88112377906288, 49.883214170030755, 98.4720139449819, 307.4646958915205], ""center"": [233.11713075155382, 203.615562115791]}]",data/output/frames/10_frame000375_loitering_track1_20250823_210940_602.jpg
405,16.2,loitering,1,45.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 16.2, ""bbox"": [190.1563552574048, 49.58283190512751, 97.15447010049142, 308.1382243188315], ""center"": [238.73359030765053, 203.65194406454324]}]",data/output/frames/10_frame000405_loitering_track1_20250823_210942_070.jpg
435,17.4,loitering,1,46.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 17.4, ""bbox"": [204.5365096440657, 51.642921948852205, 89.87139301014737, 305.46241303690294], ""center"": [249.47220614913937, 204.37412846730368]}]",data/output/frames/10_frame000435_loitering_track1_20250823_210943_496.jpg
444,17.76,unusual,,54.33,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.72, ""mean_magnitude"": 0.6800000071525574, ""baseline_mean"": 0.4099999964237213, ""baseline_std"": 0.1, ""num_regions"": 10, ""total_area"": 76061.0}]",data/output/frames/10_frame000444_unusual_trackNone_20250823_210943_928.jpg
465,18.6,loitering,1,48.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 18.6, ""bbox"": [235.26131577812217, 60.94484886785219, 98.11105914272044, 295.8520514419057], ""center"": [284.3168453494824, 208.87087458880504]}]",data/output/frames/10_frame000465_loitering_track1_20250823_210944_933.jpg
495,19.8,loitering,1,49.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 19.8, ""bbox"": [305.06501498519265, 66.10984518261549, 87.24367956451425, 290.651150555405], ""center"": [348.68685476744974, 211.435420460318]}]",data/output/frames/10_frame000495_loitering_track1_20250823_210946_352.jpg
525,21.0,loitering,1,51.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 21.0, ""bbox"": [331.81314887826437, 76.46158283085154, 107.0623254761995, 281.5943976961182], ""center"": [385.3443116163641, 217.25878167891065]}]",data/output/frames/10_frame000525_loitering_track1_20250823_210947_781.jpg
528,21.12,unusual,,53.48,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.67, ""mean_magnitude"": 0.6600000262260437, ""baseline_mean"": 0.38999998569488525, ""baseline_std"": 0.1, ""num_regions"": 19, ""total_area"": 124897.0}]",data/output/frames/10_frame000528_unusual_trackNone_20250823_210947_926.jpg
555,22.2,loitering,1,52.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 22.2, ""bbox"": [339.58318045108626, 76.33440401098979, 92.8176100262456, 280.15052029328183], ""center"": [385.99198546420905, 216.4096641576307]}]",data/output/frames/10_frame000555_loitering_track1_20250823_210949_243.jpg
575,23.0,unusual,,94.25,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 4.710000038146973, ""mean_magnitude"": 1.4600000381469727, ""baseline_mean"": 0.5799999833106995, ""baseline_std"": 0.1899999976158142, ""num_regions"": 5, ""total_area"": 239705.0}]",data/output/frames/10_frame000575_unusual_trackNone_20250823_210950_216.jpg
585,23.4,loitering,1,54.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 23.4, ""bbox"": [335.3314571279047, 75.73003957586687, 89.08517745212443, 280.9871325541489], ""center"": [379.8740458539669, 216.22360585294132]}]",data/output/frames/10_frame000585_loitering_track1_20250823_210950_702.jpg
615,24.6,loitering,1,55.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 24.6, ""bbox"": [327.46965005199695, 76.71698987500586, 92.87286801984298, 280.81379274839935], ""center"": [373.9060840619184, 217.12388624920555]}]",data/output/frames/10_frame000615_loitering_track1_20250823_210952_154.jpg
645,25.8,loitering,1,57.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 25.8, ""bbox"": [328.7417352988557, 76.96321911291429, 91.48452971094304, 280.59846020131727], ""center"": [374.4840001543272, 217.26244921357292]}]",data/output/frames/10_frame000645_loitering_track1_20250823_210953_602.jpg
675,27.0,loitering,1,58.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 27.0, ""bbox"": [323.1468984078148, 77.66355257886093, 93.64050517980826, 279.55829559085157], ""center"": [369.96715099771893, 217.44270037428672]}]",data/output/frames/10_frame000675_loitering_track1_20250823_210955_040.jpg
705,28.2,loitering,1,60.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 28.2, ""bbox"": [326.623270258385, 76.55479783166372, 92.32786573384485, 280.73130079354337], ""center"": [372.7872031253074, 216.92044822843542]}]",data/output/frames/10_frame000705_loitering_track1_20250823_210956_477.jpg
735,29.4,loitering,1,61.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 29.4, ""bbox"": [328.90115362914497, 75.21375575002769, 92.80607448678137, 282.2318467098262], ""center"": [375.3041908725356, 216.3296791049408]}]",data/output/frames/10_frame000735_loitering_track1_20250823_210957_909.jpg
765,30.6,loitering,1,63.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 30.6, ""bbox"": [332.88458023910596, 75.10357579302368, 91.34868853713901, 282.80295137494153], ""center"": [378.55892450767544, 216.50505148049444]}]",data/output/frames/10_frame000765_loitering_track1_20250823_210959_367.jpg
795,31.8,loitering,1,64.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 31.8, ""bbox"": [332.4193759133335, 75.1099571680825, 89.7877710918163, 282.23918483203767], ""center"": [377.31326145924163, 216.22954958410133]}]",data/output/frames/10_frame000795_loitering_track1_20250823_211000_792.jpg
825,33.0,loitering,1,66.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 1, ""dwell_seconds"": 33.0, ""bbox"": [328.1402791152143, 75.057236791245, 92.94040925599491, 282.28546076337983], ""center"": [374.6104837432118, 216.19996717293492]}]",data/output/frames/10_frame000825_loitering_track1_20250823_211002_225.jpg
